from_name,to_name,distance_km
Dehradun,Haridwar,52.38
Dehradun,Rishikesh,39.77
Dehradun,Mussoorie,20.89
Dehradun,Nainital,282.72
Dehradun,Haldwani,275.22
Dehradun,Rudrapur,284.97
Dehradun,Pithoragarh,411.78
Dehradun,Chamoli,297.3
Dehradun,Tehri,81.63
Dehradun,Uttarkashi,175.48
Dehradun,Joshimath,286.27
Dehradun,Bageshwar,341.45
Dehradun,Doiwala,19.57
Dehradun,Kichha,294.29
Dehradun,Sitarganj,316.1
Dehradun,Khatima,345.26
Dehradun,Tanakpur,352.9
Dehradun,Lohaghat,415.19
Dehradun,Ranikhet,265.39
Dehradun,Kotdwara,118.66
Dehradun,New Tehri,84.0
Haridwar,Dehradun,52.32
Haridwar,Rishikesh,25.44
Haridwar,Mussoorie,72.42
Haridwar,Nainital,239.21
Haridwar,Haldwani,231.71
Haridwar,Rudrapur,241.46
Haridwar,Pithoragarh,368.26
Haridwar,Chamoli,283.65
Haridwar,Tehri,95.9
Haridwar,Uttarkashi,219.71
Haridwar,Joshimath,272.62
Haridwar,Bageshwar,327.8
Haridwar,Doiwala,34.74
Haridwar,Kichha,250.78
Haridwar,Sitarganj,272.58
Haridwar,Khatima,301.74
Haridwar,Tanakpur,309.39
Haridwar,Lohaghat,371.67
Haridwar,Ranikhet,221.87
Haridwar,Kotdwara,75.14
Haridwar,New Tehri,91.84
Rishikesh,Dehradun,39.81
Rishikesh,Haridwar,25.42
Rishikesh,Mussoorie,59.74
Rishikesh,Nainital,250.43
Rishikesh,Haldwani,242.92
Rishikesh,Rudrapur,252.67
Rishikesh,Pithoragarh,379.48
Rishikesh,Chamoli,258.82
Rishikesh,Tehri,71.48
Rishikesh,Uttarkashi,195.29
Rishikesh,Joshimath,247.79
Rishikesh,Bageshwar,302.97
Rishikesh,Doiwala,22.25
Rishikesh,Kichha,262.0
Rishikesh,Sitarganj,283.8
Rishikesh,Khatima,312.96
Rishikesh,Tanakpur,320.61
Rishikesh,Lohaghat,382.89
Rishikesh,Ranikhet,233.09
Rishikesh,Kotdwara,86.36
Rishikesh,New Tehri,67.41
Mussoorie,Dehradun,20.6
Mussoorie,Haridwar,72.46
Mussoorie,Rishikesh,59.56
Mussoorie,Nainital,302.8
Mussoorie,Haldwani,295.3
Mussoorie,Rudrapur,305.05
Mussoorie,Pithoragarh,426.25
Mussoorie,Chamoli,288.55
Mussoorie,Tehri,62.35
Mussoorie,Uttarkashi,156.21
Mussoorie,Joshimath,277.52
Mussoorie,Bageshwar,332.7
Mussoorie,Doiwala,39.65
Mussoorie,Kichha,314.37
Mussoorie,Sitarganj,336.18
Mussoorie,Khatima,365.34
Mussoorie,Tanakpur,372.98
Mussoorie,Lohaghat,435.27
Mussoorie,Ranikhet,285.46
Mussoorie,Kotdwara,138.74
Mussoorie,New Tehri,64.72
Nainital,Dehradun,286.17
Nainital,Haridwar,238.57
Nainital,Rishikesh,250.43
Nainital,Mussoorie,306.27
Nainital,Haldwani,42.76
Nainital,Rudrapur,73.88
Nainital,Pithoragarh,175.57
Nainital,Chamoli,282.85
Nainital,Tehri,313.55
Nainital,Uttarkashi,425.33
Nainital,Joshimath,271.82
Nainital,Bageshwar,160.26
Nainital,Doiwala,268.59
Nainital,Kichha,72.25
Nainital,Sitarganj,81.09
Nainital,Khatima,110.25
Nainital,Tanakpur,117.9
Nainital,Lohaghat,150.48
Nainital,Ranikhet,58.78
Nainital,Kotdwara,172.16
Nainital,New Tehri,304.97
Haldwani,Dehradun,278.67
Haldwani,Haridwar,231.07
Haldwani,Rishikesh,242.93
